Scenario,Region,Type,Year,Data,Unit
Reference,BC,Conventional Light,2027,5.289867519,Thousand cubic metres
Reference,BC,Conventional Heavy,2027,0,Thousand cubic metres
Reference,BC,C5+,2027,7.596791107,Thousand cubic metres
Reference,BC,Field Condensate,2027,19.31824411,Thousand cubic metres
Reference,BC,Mined Bitumen ,2027,0,Thousand cubic metres
Reference,BC,In Situ Bitumen ,2027,0,Thousand cubic metres
Reference,BC,Total,2027,32.20490274,Thousand cubic metres
Reference,BC,Conventional Light,2028,5.393254056,Thousand cubic metres
Reference,BC,Conventional Heavy,2028,0,Thousand cubic metres
Reference,BC,C5+,2028,7.899805161,Thousand cubic metres
Reference,BC,Field Condensate,2028,20.17249814,Thousand cubic metres
Reference,BC,Mined Bitumen ,2028,0,Thousand cubic metres
Reference,BC,In Situ Bitumen ,2028,0,Thousand cubic metres
Reference,BC,Total,2028,33.46555735,Thousand cubic metres
Reference,BC,Conventional Light,2029,5.507280493,Thousand cubic metres
Reference,BC,Conventional Heavy,2029,0,Thousand cubic metres
Reference,BC,C5+,2029,8.231982891,Thousand cubic metres
Reference,BC,Field Condensate,2029,21.09577634,Thousand cubic metres
Reference,BC,Mined Bitumen ,2029,0,Thousand cubic metres
Reference,BC,In Situ Bitumen ,2029,0,Thousand cubic metres
Reference,BC,Total,2029,34.83503972,Thousand cubic metres
