province,source,scenario,year,value,unit
all,total,technology,2012,619758.8765,GW.h
AB,total,technology,2012,74246.512,GW.h
BC,total,technology,2012,71623.218,GW.h
MB,total,technology,2012,33227.3985,GW.h
NB,total,technology,2012,8884.5815,GW.h
NL,total,technology,2012,46572.8205,GW.h
NS,total,technology,2012,10924.368,GW.h
NT,total,technology,2012,351.4254,GW.h
NU,total,technology,2012,98,GW.h
ON,total,technology,2012,151910.5924,GW.h
PE,total,technology,2012,470.2243,GW.h
QC,total,technology,2012,199723.4279,GW.h
SK,total,technology,2012,21271.304,GW.h
YT,total,technology,2012,455.004,GW.h
all,total,technology,2013,644720.4264,GW.h
AB,total,technology,2013,77562.3942,GW.h
BC,total,technology,2013,65157.5056,GW.h
MB,total,technology,2013,36343.1805,GW.h
NB,total,technology,2013,13083.6958,GW.h
NL,total,technology,2013,45481.0638,GW.h
NS,total,technology,2013,10671.604,GW.h
NT,total,technology,2013,460.63,GW.h
NU,total,technology,2013,98,GW.h
ON,total,technology,2013,159438.8836,GW.h
PE,total,technology,2013,501.2243,GW.h
QC,total,technology,2013,212252.4896,GW.h
SK,total,technology,2013,23299,GW.h
YT,total,technology,2013,370.755,GW.h
all,total,technology,2014,648574.4325,GW.h
AB,total,technology,2014,83909.9397,GW.h
BC,total,technology,2014,66393.286,GW.h
MB,total,technology,2014,35571.8926,GW.h
NB,total,technology,2014,13454.6794,GW.h
NL,total,technology,2014,43308.2884,GW.h
NS,total,technology,2014,10511.987,GW.h
NT,total,technology,2014,355.437,GW.h
NU,total,technology,2014,158,GW.h
ON,total,technology,2014,161679.7316,GW.h
PE,total,technology,2014,613.5043,GW.h
QC,total,technology,2014,208988.0475,GW.h
SK,total,technology,2014,23195.953,GW.h
YT,total,technology,2014,433.686,GW.h
all,total,technology,2015,646467.2794,GW.h
AB,total,technology,2015,80377.1362,GW.h
BC,total,technology,2015,71367.257,GW.h
MB,total,technology,2015,35924.6572,GW.h
NB,total,technology,2015,12396.5548,GW.h
NL,total,technology,2015,43975.2578,GW.h
NS,total,technology,2015,9991.0874,GW.h
NT,total,technology,2015,334.714,GW.h
