province,source,scenario,year,value,unit
NL,total,high,2013,43072.3192,GW.h
NS,total,high,2013,11161.9877,GW.h
NT,total,high,2013,561.571,GW.h
NU,total,high,2013,98.306,GW.h
ON,total,high,2013,146577.5204,GW.h
PE,total,high,2013,531.0879,GW.h
QC,total,high,2013,204020.1324,GW.h
SK,total,high,2013,21957.832,GW.h
YT,total,high,2013,370.755,GW.h
all,total,high,2014,641700.5062,GW.h
AB,total,high,2014,81338.7617,GW.h
BC,total,high,2014,67862.4788,GW.h
MB,total,high,2014,39479.201,GW.h
NB,total,high,2014,10177.1562,GW.h
NL,total,high,2014,41062.094,GW.h
NS,total,high,2014,12408.2222,GW.h
NT,total,high,2014,744.8968,GW.h
NU,total,high,2014,151.6819,GW.h
ON,total,high,2014,167170.9691,GW.h
PE,total,high,2014,668.7628,GW.h
QC,total,high,2014,194346.1774,GW.h
SK,total,high,2014,25879.3725,GW.h
YT,total,high,2014,410.7318,GW.h
all,total,high,2015,656219.8500000001,GW.h
AB,total,high,2015,87167.1243,GW.h
BC,total,high,2015,71326.8108,GW.h
MB,total,high,2015,39837.9657,GW.h
NB,total,high,2015,10876.2316,GW.h
NL,total,high,2015,41051.9499,GW.h
NS,total,high,2015,12632.5529,GW.h
NT,total,high,2015,760.3624,GW.h
NU,total,high,2015,151.6819,GW.h
