province,sector,source,scenario,year,value,unit
NT,total,total,technology,2005,18.3956,Petajoules
NU,total,total,technology,2005,3.365,Petajoules
ON,total,total,technology,2005,3072.3324,Petajoules
PE,total,total,technology,2005,25.8323,Petajoules
QC,total,total,technology,2005,1866.5631,Petajoules
SK,total,total,technology,2005,553.5016,Petajoules
YT,total,total,technology,2005,6.9144,Petajoules
all,total,total,technology,2006,10364.1175,Petajoules
AB,total,total,technology,2006,2863.7778,Petajoules
BC,total,total,technology,2006,1201.5038,Petajoules
MB,total,total,technology,2006,274.7622,Petajoules
NB,total,total,technology,2006,251.0348,Petajoules
NL,total,total,technology,2006,161.643,Petajoules
NS,total,total,technology,2006,197.4093,Petajoules
NT,total,total,technology,2006,18.8383,Petajoules
NU,total,total,technology,2006,4.4661,Petajoules
ON,total,total,technology,2006,2967.3093,Petajoules
PE,total,total,technology,2006,24.798,Petajoules
QC,total,total,technology,2006,1846.6599,Petajoules
SK,total,total,technology,2006,544.5824,Petajoules
YT,total,total,technology,2006,7.3318,Petajoules
all,total,total,technology,2007,10755.8426,Petajoules
AB,total,total,technology,2007,3020.5641,Petajoules
BC,total,total,technology,2007,1218.6369,Petajoules
MB,total,total,technology,2007,290.6827,Petajoules
NB,total,total,technology,2007,261.9242,Petajoules
NL,total,total,technology,2007,175.6906,Petajoules
NS,total,total,technology,2007,210.9811,Petajoules
NT,total,total,technology,2007,24.9895,Petajoules
NU,total,total,technology,2007,4.9495,Petajoules
ON,total,total,technology,2007,3030.3146,Petajoules
PE,total,total,technology,2007,26.3017,Petajoules
QC,total,total,technology,2007,1905.8081,Petajoules
SK,total,total,technology,2007,578.0261,Petajoules
YT,total,total,technology,2007,6.9732,Petajoules
all,total,total,technology,2008,10488.2902,Petajoules
AB,total,total,technology,2008,2918.5175,Petajoules
BC,total,total,technology,2008,1156.1111,Petajoules
MB,total,total,technology,2008,290.3322,Petajoules
NB,total,total,technology,2008,245.3765,Petajoules
NL,total,total,technology,2008,169.0016,Petajoules
NS,total,total,technology,2008,205.5159,Petajoules
NT,total,total,technology,2008,21.9978,Petajoules
NU,total,total,technology,2008,4.6517,Petajoules
ON,total,total,technology,2008,3002.7639,Petajoules
PE,total,total,technology,2008,25.3712,Petajoules
QC,total,total,technology,2008,1854.8519,Petajoules
SK,total,total,technology,2008,587.279,Petajoules
YT,total,total,technology,2008,6.519,Petajoules
all,total,total,technology,2009,10133.6464,Petajoules
AB,total,total,technology,2009,2918.5547,Petajoules
BC,total,total,technology,2009,1111.5571,Petajoules
MB,total,total,technology,2009,282.1664,Petajoules
NB,total,total,technology,2009,252.0603,Petajoules
NL,total,total,technology,2009,160.5043,Petajoules
NS,total,total,technology,2009,202.3798,Petajoules
NT,total,total,technology,2009,16.319,Petajoules
NU,total,total,technology,2009,4.477,Petajoules
ON,total,total,technology,2009,2761.4405,Petajoules
PE,total,total,technology,2009,25.5462,Petajoules
QC,total,total,technology,2009,1797.6906,Petajoules
SK,total,total,technology,2009,595.442,Petajoules
YT,total,total,technology,2009,5.5084,Petajoules
