province,type,scenario,year,value,unit
ON,Total,reference,2040,0.106051267659652,Thousand cubic metres
PE,Total,reference,2040,0,Thousand cubic metres
QC,Total,reference,2040,0,Thousand cubic metres
SK,Total,reference,2040,114.422319572458,Thousand cubic metres
YT,Total,reference,2040,0,Thousand cubic metres
all,Total,technology,2005,411.638316343446,Thousand cubic metres
AB,Total,technology,2005,260.102479594854,Thousand cubic metres
BC,Total,technology,2005,4.64508142153098,Thousand cubic metres
MB,Total,technology,2005,2.20348513824885,Thousand cubic metres
NB,Total,technology,2005,0,Thousand cubic metres
NL,Total,technology,2005,48.47,Thousand cubic metres
NS,Total,technology,2005,0,Thousand cubic metres
NT,Total,technology,2005,2.99,Thousand cubic metres
NU,Total,technology,2005,0,Thousand cubic metres
ON,Total,technology,2005,0.38,Thousand cubic metres
PE,Total,technology,2005,0,Thousand cubic metres
QC,Total,technology,2005,0,Thousand cubic metres
SK,Total,technology,2005,66.6172701888121,Thousand cubic metres
YT,Total,technology,2005,0,Thousand cubic metres
