province,sector,source,scenario,year,value,unit
QC,total,total,reference,2032,1810.0488,Petajoules
SK,total,total,reference,2032,716.1524,Petajoules
YT,total,total,reference,2032,6.4388,Petajoules
all,total,total,reference,2033,12116.637,Petajoules
AB,total,total,reference,2033,4389.2284,Petajoules
BC,total,total,reference,2033,1208.2157,Petajoules
MB,total,total,reference,2033,309.5501,Petajoules
NB,total,total,reference,2033,214.067,Petajoules
NL,total,total,reference,2033,140.5187,Petajoules
NS,total,total,reference,2033,149.164,Petajoules
NT,total,total,reference,2033,15.1125,Petajoules
NU,total,total,reference,2033,6.4597,Petajoules
ON,total,total,reference,2033,3124.4141,Petajoules
PE,total,total,reference,2033,24.3382,Petajoules
QC,total,total,reference,2033,1812.4381,Petajoules
SK,total,total,reference,2033,716.6565,Petajoules
YT,total,total,reference,2033,6.4747,Petajoules
all,total,total,reference,2034,12115.0931,Petajoules
AB,total,total,reference,2034,4387.188,Petajoules
BC,total,total,reference,2034,1208.519,Petajoules
MB,total,total,reference,2034,309.2827,Petajoules
NB,total,total,reference,2034,213.3014,Petajoules
NL,total,total,reference,2034,139.5016,Petajoules
NS,total,total,reference,2034,148.3083,Petajoules
NT,total,total,reference,2034,15.0004,Petajoules
NU,total,total,reference,2034,6.4775,Petajoules
ON,total,total,reference,2034,3127.3768,Petajoules
PE,total,total,reference,2034,24.2425,Petajoules
QC,total,total,reference,2034,1814.3178,Petajoules
SK,total,total,reference,2034,715.0331,Petajoules
YT,total,total,reference,2034,6.5445,Petajoules
all,total,total,reference,2035,12133.4719,Petajoules
AB,total,total,reference,2035,4403.282,Petajoules
BC,total,total,reference,2035,1208.6574,Petajoules
MB,total,total,reference,2035,309.0922,Petajoules
NB,total,total,reference,2035,212.5034,Petajoules
NL,total,total,reference,2035,138.7235,Petajoules
NS,total,total,reference,2035,147.4463,Petajoules
NT,total,total,reference,2035,14.8954,Petajoules
NU,total,total,reference,2035,6.4915,Petajoules
ON,total,total,reference,2035,3129.9004,Petajoules
PE,total,total,reference,2035,24.1156,Petajoules
QC,total,total,reference,2035,1815.7943,Petajoules
SK,total,total,reference,2035,716.4125,Petajoules
YT,total,total,reference,2035,6.1576,Petajoules
all,total,total,reference,2036,12154.7338,Petajoules
AB,total,total,reference,2036,4424.6301,Petajoules
BC,total,total,reference,2036,1208.2126,Petajoules
MB,total,total,reference,2036,308.8144,Petajoules
NB,total,total,reference,2036,211.6981,Petajoules
NL,total,total,reference,2036,136.3822,Petajoules
NS,total,total,reference,2036,146.566,Petajoules
NT,total,total,reference,2036,14.8028,Petajoules
NU,total,total,reference,2036,6.5064,Petajoules
ON,total,total,reference,2036,3132.1333,Petajoules
PE,total,total,reference,2036,24.0334,Petajoules
QC,total,total,reference,2036,1816.3967,Petajoules
SK,total,total,reference,2036,718.497,Petajoules
YT,total,total,reference,2036,6.061,Petajoules
